protein1 protein2 experimental database textmining combined_score
511145.b0028 511145.b3961 0 0 234 234
511145.b0028 511145.b3295 0 0 244 243
511145.b0028 511145.b4239 0 0 217 217
511145.b0028 511145.b0169 468 0 0 467
511145.b0029 511145.b3414 0 0 408 408
511145.b0029 511145.b0490 188 0 0 188
511145.b0029 511145.b0156 0 0 373 373
511145.b0029 511145.b1208 0 0 377 376
511145.b0029 511145.b0051 0 0 249 248
511145.b0029 511145.b1204 505 0 0 505
511145.b0030 511145.b0414 189 0 0 189
511145.b0030 511145.b0086 179 0 0 179
511145.b0031 511145.b4382 277 0 0 277
511145.b0031 511145.b0181 0 0 228 227
511145.b0031 511145.b1190 228 0 0 227
511145.b0031 511145.b0131 0 0 286 286
511145.b0032 511145.b0436 457 0 0 457
511145.b0032 511145.b0033 960 900 0 995
511145.b0032 511145.b0014 0 0 286 286
511145.b0032 511145.b2181 457 0 0 457
511145.b0032 511145.b3197 215 0 0 215
511145.b0033 511145.b2312 0 0 286 286
511145.b0033 511145.b2873 0 0 158 157
511145.b0033 511145.b2069 78 0 120 153
511145.b0033 511145.b0512 0 0 158 157
511145.b0033 511145.b0032 960 900 0 995
511145.b0033 511145.b0014 78 0 120 153
511145.b0033 511145.b0650 78 0 120 153
511145.b0033 511145.b3642 64 0 286 303
511145.b0033 511145.b2699 164 0 0 163
511145.b0033 511145.b2526 78 0 120 153
511145.b0033 511145.b0436 457 0 0 457
511145.b0034 511145.b1976 156 0 0 155
511145.b0035 511145.b0126 312 0 0 311
511145.b0035 511145.b0339 312 0 0 311
511145.b0036 511145.b2606 456 0 0 456
511145.b0036 511145.b2844 269 152 68 371
511145.b0036 511145.b3296 399 0 0 398
511145.b0036 511145.b3026 215 0 0 215
511145.b0036 511145.b3315 458 0 0 457
511145.b0036 511145.b0545 274 0 0 274
511145.b0036 511145.b3230 459 0 0 459
511145.b0036 511145.b2567 395 0 0 394
511145.b0036 511145.b2342 269 152 68 371
511145.b0036 511145.b3636 459 0 0 459
511145.b0036 511145.b3301 458 0 0 457
511145.b0036 511145.b3637 458 0 0 457
511145.b0036 511145.b0773 274 0 0 274
511145.b0036 511145.b0039 129 0 84 168
511145.b0036 511145.b2052 242 0 0 241
511145.b0036 511145.b3185 458 0 0 457
511145.b0036 511145.b3294 459 0 0 459
511145.b0036 511145.b3983 457 0 45 459
511145.b0036 511145.b3341 455 0 0 455
511145.b0036 511145.b4003 215 0 0 215
511145.b0036 511145.b1129 215 0 0 215
511145.b0036 511145.b3656 214 0 0 214
